,birthdate,college_listed,us_born,lesbian_or_bi,trans
Natalie Portman,1981-06-09,0.0,0.0,0.0,0.0
Natalie Zea,1975-03-17,0.0,1.0,0.0,0.0
Natasha Bedingfield,1981-11-26,0.0,,0.0,0.0
Natasha Poly,1985-07-12,0.0,0.0,0.0,0.0
Nathalie Emmanuel,1989-03-02,0.0,0.0,0.0,0.0
Navi Rawat,1977-06-05,0.0,1.0,0.0,0.0
Naya Rivera,1987-01-12,0.0,1.0,0.0,0.0
Nelly Furtado,1978-12-02,0.0,0.0,0.0,0.0
Nicki Minaj,1982-12-08,0.0,,0.0,0.0
Nicky Whelan,1981-05-10,0.0,0.0,0.0,0.0
Nicole Beharie,1985-01-03,0.0,1.0,0.0,0.0
Nicole Richie,1981-09-21,0.0,1.0,0.0,0.0
Nicole Scherzinger,1978-06-29,1.0,1.0,0.0,0.0
Nikki Cox,1978-06-02,0.0,1.0,0.0,0.0
Nikki Reed,1988-05-17,0.0,1.0,0.0,0.0
Nina Agdal,1992-03-26,0.0,0.0,0.0,0.0
Nina Dobrev,1989-01-09,0.0,0.0,0.0,0.0
Norah Jones,1979-03-30,0.0,,0.0,0.0
Noureen DeWulf,1984-02-28,0.0,1.0,0.0,0.0
Odette Annable,1985-05-10,0.0,1.0,0.0,0.0
Olivia Culpo,1992-05-08,0.0,,0.0,0.0
Olivia Munn,1980-07-03,1.0,1.0,0.0,0.0
Olivia Wilde,1984-03-10,0.0,1.0,0.0,0.0
Padma Lakshmi,1970-09-01,0.0,0.0,0.0,0.0
Pamela Anderson,1967-07-01,0.0,0.0,0.0,0.0
Paris Hilton,1981-02-17,0.0,1.0,0.0,0.0
Paula Patton,1975-12-05,1.0,1.0,0.0,0.0
Paulina Gretzky,1988-12-19,0.0,,0.0,0.0
Paulina Rubio,1971-06-17,0.0,0.0,0.0,0.0
Paz Vega,1976-01-02,0.0,0.0,0.0,0.0
Paz de la Huerta,1984-09-03,0.0,1.0,0.0,0.0
Penélope Cruz,1974-04-28,0.0,0.0,0.0,0.0
Phoebe Tonkin,1989-07-12,0.0,0.0,0.0,0.0
Pippa Middleton,1983-09-06,1.0,0.0,0.0,0.0
Poppy Montgomery,1972-06-15,0.0,0.0,0.0,0.0
Portia de Rossi,1973-01-31,0.0,0.0,1.0,0.0
Priyanka Chopra,1982-07-18,0.0,0.0,0.0,0.0
Rachael Leigh Cook,1979-10-04,0.0,1.0,0.0,0.0
Rachel Bilson,1981-08-25,0.0,1.0,0.0,0.0
Rachel Blanchard,1976-03-19,0.0,0.0,0.0,0.0
Rachel Hunter,1969-09-08,0.0,0.0,0.0,0.0
Rachel McAdams,1978-11-17,1.0,0.0,0.0,0.0
Rachel Perry,1976-01-20,0.0,0.0,0.0,0.0
Rachelle Leah,1984-08-20,0.0,1.0,0.0,0.0
Radha Mitchell,1973-11-12,0.0,0.0,0.0,0.0
Raquel Alessi,1983-03-07,0.0,1.0,0.0,0.0
Rebecca Romijn,1972-11-06,0.0,1.0,0.0,0.0
Reese Witherspoon,1976-03-22,0.0,1.0,0.0,0.0
Rhona Mitra,1976-08-09,0.0,0.0,0.0,0.0
Rihanna,1988-02-20,0.0,0.0,0.0,0.0
Rita Ora,1990-11-26,0.0,,0.0,0.0
Robin Tunney,1972-06-19,0.0,1.0,0.0,0.0
Rocsi Diaz,1983-11-17,0.0,0.0,0.0,0.0
Ronda Rousey,1987-02-01,0.0,,0.0,0.0
Rosamund Pike,1979-01-27,1.0,0.0,0.0,0.0
Rosario Dawson,1979-05-09,0.0,1.0,0.0,0.0
Rose Byrne,1979-07-24,0.0,0.0,0.0,0.0
Rose McGowan,1973-09-05,0.0,0.0,0.0,0.0
Rosie Huntington-Whiteley,1987-04-18,0.0,0.0,0.0,0.0
Salma Hayek,1966-09-02,1.0,0.0,0.0,0.0
Samaire Armstrong,1980-10-31,0.0,0.0,0.0,0.0
Samantha Hoopes,1991-02-10,0.0,0.0,0.0,0.0
Samantha Mathis,1970-05-12,0.0,1.0,0.0,0.0
Samantha Morton,1977-05-13,1.0,0.0,0.0,0.0
Samantha Mumba,1983-01-18,0.0,,0.0,0.0
Sanaa Lathan,1971-09-19,1.0,1.0,0.0,0.0
Sara Foster,1981-02-05,0.0,1.0,0.0,0.0
Sara Sampaio,1991-07-21,0.0,0.0,0.0,0.0
Sarah Hyland,1990-11-24,0.0,1.0,0.0,0.0
Sarah Michelle Gellar,1977-04-14,0.0,1.0,0.0,0.0
Sarah Mutch,1984-12-21,0.0,0.0,0.0,0.0
Sarah Polley,1979-01-08,0.0,0.0,0.0,0.0
Sarah Shahi,1980-01-10,0.0,1.0,0.0,0.0
Sarah Silverman,1970-12-01,0.0,,0.0,0.0
Sarah Wynter,1973-02-15,0.0,0.0,0.0,0.0
Sasha Luss,1992-06-06,0.0,0.0,0.0,0.0
Sasha Pivovarova,1985-01-21,0.0,0.0,0.0,0.0
Scarlett Chorvat,1972-08-25,0.0,0.0,0.0,0.0
Scarlett Johansson,1984-11-22,0.0,1.0,0.0,0.0
Selena Gomez,1992-07-22,0.0,1.0,0.0,0.0
Selita Ebanks,1983-02-17,0.0,0.0,0.0,0.0
Serinda Swan,1984-07-11,0.0,0.0,0.0,0.0
Shakara Ledard,1979-02-21,0.0,0.0,0.0,0.0
Shakira,1977-02-02,0.0,0.0,0.0,0.0
Shana Hiatt,1975-12-17,0.0,,0.0,0.0
Shania Twain,1965-08-28,0.0,0.0,0.0,0.0
Shanna Moakler,1975-03-28,0.0,1.0,0.0,0.0
Shannon Elizabeth,1973-09-07,0.0,1.0,0.0,0.0
Shannyn Sossamon,1978-10-03,0.0,1.0,0.0,0.0
Shay Mitchell,1987-04-10,0.0,0.0,0.0,0.0
Sienna Guillory,1975-03-16,0.0,0.0,0.0,0.0
Sienna Miller,1981-12-28,0.0,1.0,0.0,0.0
Silje Norendal,1993-09-01,0.0,0.0,0.0,0.0
Sofía Vergara,1972-07-10,0.0,0.0,0.0,0.0
Sophia Bush,1982-07-08,0.0,1.0,0.0,0.0
Sophie Monk,1979-12-14,0.0,,0.0,0.0
Stacy Keibler,1979-10-14,1.0,1.0,0.0,0.0
Stana Katic,1978-04-26,1.0,0.0,0.0,0.0
Stella Maxwell,1990-05-15,0.0,0.0,0.0,0.0
Stephanie Pratt,1986-04-11,1.0,1.0,0.0,0.0
Stephen Colbert,1964-05-13,1.0,,0.0,0.0
Suki Waterhouse,1992-01-05,0.0,0.0,0.0,0.0
Summer Altice,1979-12-23,0.0,1.0,0.0,0.0
Summer Glau,1981-07-24,0.0,1.0,0.0,0.0
Sunny Mabrey,1975-11-28,0.0,1.0,0.0,0.0
Susan Ward,1976-04-15,0.0,1.0,0.0,0.0
Susie Castillo,1979-10-27,0.0,,0.0,0.0
Talisa Soto,1967-03-27,0.0,1.0,0.0,0.0
Tamala Jones,1974-11-12,0.0,1.0,0.0,0.0
Tamie Sheffield,1974-07-27,0.0,,0.0,0.0
Tara Conner,1985-12-18,0.0,,0.0,0.0
Tara Reid,1975-11-08,0.0,1.0,0.0,0.0
Taryn Manning,1978-11-06,0.0,1.0,0.0,0.0
Tatiana Maslany,1985-09-22,0.0,0.0,0.0,0.0
Tatiana Zavialova,1974-12-25,0.0,0.0,0.0,0.0
Taylor Cole,1984-04-29,0.0,1.0,0.0,0.0
Taylor Momsen,1993-07-26,0.0,1.0,0.0,0.0
Taylor Swift,1989-12-13,0.0,1.0,0.0,0.0
Teresa Palmer,1986-02-26,0.0,0.0,0.0,0.0
Teri Hatcher,1964-12-08,0.0,1.0,0.0,0.0
Teri Polo,1969-06-01,0.0,1.0,0.0,0.0
Tessie Santiago,1975-08-10,0.0,1.0,0.0,0.0
Thandie Newton,1972-11-06,1.0,0.0,0.0,0.0
Thora Birch,1982-03-11,0.0,1.0,0.0,0.0
Tila Tequila,1981-10-24,0.0,0.0,0.0,0.0
Tina Fey,1970-05-18,1.0,1.0,0.0,0.0
Toni Garrn,1992-07-07,0.0,0.0,0.0,0.0
Tricia Helfer,1974-04-11,0.0,0.0,0.0,0.0
Tricia Vessey,1972-10-08,0.0,1.0,0.0,0.0
Tyra Banks,1973-12-04,1.0,1.0,0.0,0.0
Uma Thurman,1970-04-29,0.0,1.0,0.0,0.0
Vanessa Hudgens,1988-12-14,0.0,1.0,0.0,0.0
Vanessa Marcil,1968-10-15,0.0,1.0,0.0,0.0
Vanessa Simmons,1983-08-05,0.0,,0.0,0.0
Victoria Beckham,1974-04-17,0.0,0.0,0.0,0.0
Victoria Justice,1993-02-19,0.0,1.0,0.0,0.0
Victoria Pratt,1970-12-18,0.0,0.0,0.0,0.0
Victoria Silvstedt,1974-09-19,0.0,0.0,0.0,0.0
Vinessa Shaw,1976-07-19,0.0,1.0,0.0,0.0
Virginie Ledoyen,1976-11-15,0.0,0.0,0.0,0.0
Whitney Able,1982-06-02,0.0,1.0,0.0,0.0
Whitney Port,1985-03-04,1.0,1.0,0.0,0.0
Willa Ford,1981-01-22,0.0,,0.0,0.0
Willa Holland,1991-06-18,0.0,1.0,0.0,0.0
Xenia Seeberg,1972-04-04,0.0,0.0,0.0,0.0
Yunjin Kim,1973-11-07,0.0,0.0,0.0,0.0
Yvonne Strahovski,1982-07-30,0.0,0.0,0.0,0.0
Zoe Saldana,1978-06-19,0.0,1.0,0.0,0.0
Zooey Deschanel,1980-01-17,0.0,1.0,0.0,0.0
iJustine,1984-03-20,0.0,1.0,0.0,0.0
